ID,Name,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-11,2025-01-12,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-18,2025-01-19,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,2025-01-25,2025-01-26,2025-01-27,2025-01-28,2025-01-29,2025-01-30,2025-01-31
28,Student_28,P,P,P,P,A,P,P,A,A,P,A,A,P,P,A,P,P,P,P,A,A,A,A,P,P,P,A,P,A,A,P
29,Student_29,A,P,A,A,A,A,A,P,A,A,A,A,A,A,A,P,A,P,P,A,A,A,A,P,P,A,P,P,P,A,A
30,Student_30,A,A,A,P,P,P,A,A,A,P,A,A,A,P,A,A,A,A,A,A,P,P,A,A,A,A,A,A,A,P,P
31,Student_31,A,A,A,P,P,A,P,P,A,A,A,P,A,A,A,A,A,A,P,P,A,A,P,A,A,A,A,A,A,A,A
32,Student_32,P,P,A,P,A,A,P,A,A,P,A,P,A,A,A,P,A,A,P,A,A,P,P,A,A,A,A,P,P,A,P
33,Student_33,A,A,A,P,A,A,A,P,P,P,A,P,A,P,A,P,P,P,P,P,A,A,P,A,P,A,P,A,A,A,A
34,Student_34,P,A,A,P,P,P,P,A,A,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A,A,P,P,P,A,A,P
35,Student_35,A,P,P,A,P,P,A,A,A,A,A,A,P,A,P,A,A,A,A,A,P,P,P,P,A,P,A,P,A,A,A
36,Student_36,A,A,A,P,P,A,A,A,P,A,A,P,P,P,A,A,P,A,P,A,P,P,A,A,A,A,P,A,P,P,A
37,Student_37,A,P,A,P,A,P,A,P,A,A,A,P,P,P,A,P,A,A,A,P,A,P,A,A,A,A,A,A,P,A,A
38,Student_38,P,A,A,A,P,P,A,P,P,A,A,A,P,A,P,P,A,P,P,A,A,A,P,A,A,P,A,P,P,P,P
39,Student_39,P,P,A,P,P,P,P,P,P,P,A,A,P,A,A,P,A,A,A,A,A,P,A,A,P,A,P,A,P,A,P
40,Student_40,A,A,P,P,A,P,A,A,P,P,P,P,P,A,A,A,P,P,P,A,A,A,P,P,P,P,A,A,A,A,P
41,Student_41,A,P,A,A,P,P,P,A,A,P,A,P,P,A,A,A,A,A,P,P,A,A,P,A,P,A,A,A,P,A,A
42,Student_42,A,A,A,A,P,A,A,P,A,A,A,P,P,A,A,P,P,A,A,A,A,A,A,P,A,A,A,A,P,A,A
43,Student_43,A,A,A,A,A,P,A,A,A,A,A,P,P,A,A,A,A,A,A,A,P,P,A,P,A,P,P,P,P,P,A
44,Student_44,A,P,A,A,P,P,A,A,A,P,A,P,A,P,P,P,A,A,P,A,A,A,A,A,P,A,A,A,A,A,P
45,Student_45,P,A,A,P,A,P,A,A,P,A,P,A,A,A,P,A,A,A,P,P,P,P,P,A,A,A,P,A,P,A,A
46,Student_46,P,P,A,A,P,P,P,A,P,A,A,P,P,A,P,P,A,P,P,A,A,A,A,A,P,P,P,A,A,P,P
47,Student_47,A,P,A,P,P,P,A,A,P,P,P,P,A,P,A,P,A,A,A,P,A,P,P,A,A,P,A,P,A,P,P
48,Student_48,P,A,P,A,A,A,P,P,A,P,A,A,A,A,P,A,A,P,A,A,A,A,P,A,P,A,P,A,P,P,A
49,Student_49,P,A,A,P,A,P,A,P,A,P,P,A,A,A,A,A,A,P,P,P,A,P,A,A,A,A,P,A,P,A,A
50,Student_50,P,P,P,P,A,A,A,P,P,A,A,A,A,A,A,P,P,P,A,A,A,A,A,P,P,A,A,A,P,A,A
51,Student_51,A,P,A,P,A,A,A,A,A,A,P,A,A,P,A,A,A,P,A,A,P,A,A,A,A,A,A,A,A,A,P
52,Student_52,A,A,P,A,A,A,P,P,P,A,A,P,P,A,P,P,A,P,A,P,A,A,A,A,A,A,P,A,P,P,A
53,Student_53,A,A,P,A,A,P,A,A,A,A,A,P,P,P,A,A,A,P,A,A,A,A,P,A,P,A,A,P,P,A,A
54,Student_54,P,P,A,A,A,A,A,A,A,P,P,A,P,A,A,A,A,A,A,A,A,A,P,A,P,P,P,A,P,A,A
55,Student_55,P,P,P,P,P,A,P,A,A,A,A,P,A,A,P,A,P,A,A,P,A,A,A,A,A,P,A,A,A,A,P
56,Student_56,A,P,P,A,P,A,A,A,P,A,A,P,A,P,A,A,A,P,P,A,P,A,A,A,P,P,P,A,A,A,A
57,Student_57,A,A,A,P,P,P,A,A,A,A,A,A,A,P,A,A,A,P,A,A,A,A,A,P,A,P,A,P,A,P,P
58,Student_58,P,P,A,A,P,P,A,A,A,A,P,P,A,P,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,P,P
59,Student_59,P,A,P,P,A,A,A,A,A,A,P,P,A,A,P,P,P,A,P,P,A,A,P,A,A,A,A,P,A,P,A
60,Student_60,A,A,A,A,A,P,A,P,A,P,A,A,P,P,P,A,A,P,A,A,A,P,P,A,A,P,P,A,A,A,P
61,Student_61,A,A,A,P,P,P,P,A,A,A,P,P,A,A,P,A,P,A,P,A,P,A,A,A,A,A,A,A,A,A,A
62,Student_62,P,P,A,P,A,A,A,P,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,P,P,P,A,P,A
63,Student_63,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,P,A,A,P,P,A,A,A,A,A,P,P,A,A
64,Student_64,A,A,A,A,A,A,A,A,P,P,A,P,A,A,A,A,A,A,A,A,A,P,P,P,P,A,P,P,P,A,P
65,Student_65,A,A,P,A,A,P,P,P,P,A,A,A,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,P,A,P
66,Student_66,P,P,P,A,P,P,P,A,A,A,A,P,A,A,A,A,P,A,P,P,P,P,P,A,A,A,A,P,P,A,A
67,Student_67,P,A,A,P,P,A,P,A,A,A,A,P,A,A,P,A,P,A,P,A,A,A,A,A,A,P,P,A,P,P,A
68,Student_68,A,P,P,A,P,A,A,P,A,P,A,P,A,P,P,P,A,A,P,A,A,A,A,A,A,A,P,P,A,A,A
69,Student_69,P,P,P,P,P,P,A,P,P,P,A,A,A,A,A,A,A,A,P,P,A,P,A,A,A,A,A,P,P,A,P
70,Student_70,P,A,A,P,P,P,P,P,P,P,P,P,P,A,P,A,P,A,P,P,A,A,A,A,A,P,A,A,A,A,A
71,Student_71,A,A,A,A,A,A,A,A,P,A,A,P,P,P,P,A,A,P,P,A,A,A,P,A,A,P,P,A,P,A,A
72,Student_72,A,P,A,A,A,A,A,P,P,P,A,P,A,A,P,A,A,A,P,P,P,A,A,A,P,P,P,A,P,A,A
73,Student_73,P,A,A,P,P,A,A,P,A,A,A,A,A,P,P,A,A,A,A,A,A,P,A,A,P,A,A,P,A,A,P
74,Student_74,A,A,A,P,P,A,P,A,A,A,A,P,A,P,A,A,A,P,P,P,P,A,A,A,A,A,P,A,A,A,A
75,Student_75,P,P,P,A,A,A,A,A,A,A,A,A,P,P,P,P,P,A,P,A,A,A,A,A,A,P,A,P,A,P,A
76,Student_76,A,A,P,A,A,A,A,P,P,P,P,A,A,P,P,A,A,A,A,A,A,A,P,A,A,A,P,A,P,P,A
77,Student_77,A,P,A,P,A,P,A,A,A,P,A,P,A,P,A,P,A,A,P,A,P,P,P,A,A,A,A,P,A,A,P
78,Student_78,A,A,A,A,A,A,A,A,A,P,P,A,A,P,A,A,A,A,A,P,A,P,P,P,P,P,A,A,A,P,P
79,Student_79,A,P,A,A,A,A,A,A,P,A,A,A,A,P,A,P,A,P,P,A,A,P,A,P,P,A,A,A,A,A,A
80,Student_80,A,A,A,P,A,P,P,A,A,A,A,P,P,A,A,P,A,P,A,P,A,P,A,A,A,A,P,P,A,P,A
81,Student_81,P,A,A,P,A,P,A,A,P,P,A,A,A,A,P,A,P,A,P,P,A,A,A,P,A,P,A,A,A,A,A
82,Student_82,P,P,A,P,A,A,A,A,P,P,P,P,P,A,A,P,P,P,A,A,P,A,A,P,A,P,A,P,A,P,P
83,Student_83,A,P,A,A,A,A,P,P,P,A,P,P,P,A,P,P,A,P,A,P,A,A,A,A,A,A,A,A,A,A,P
84,Student_84,P,A,A,A,A,A,P,A,A,P,P,P,P,A,A,A,P,P,P,P,P,P,A,P,A,A,A,A,A,P,A
85,Student_85,P,P,A,P,P,P,P,A,P,A,A,A,P,A,A,A,A,P,A,A,A,A,P,P,P,A,A,A,P,P,P
86,Student_86,P,P,A,A,P,A,A,P,P,A,A,P,P,A,A,A,P,A,A,P,A,A,P,A,A,A,A,P,A,A,P
87,Student_87,P,P,A,A,A,P,A,A,A,A,A,A,P,P,P,A,A,A,A,A,A,A,P,P,P,P,A,P,A,A,A
88,Student_88,A,P,A,P,A,P,A,P,P,A,A,P,A,A,A,A,P,A,A,A,P,A,A,P,P,A,A,A,A,A,P
89,Student_89,P,P,A,P,A,A,P,A,P,P,A,P,A,A,P,P,P,P,A,A,A,A,A,A,A,P,P,A,A,A,A
90,Student_90,P,A,A,A,A,A,A,P,A,A,A,A,P,A,A,A,A,A,P,A,A,P,A,P,A,P,P,A,P,A,A
91,Student_91,A,P,P,A,P,A,P,P,P,P,A,P,A,A,A,A,A,A,A,A,A,P,A,P,P,P,A,P,A,A,A
92,Student_92,A,A,A,A,A,A,A,A,P,P,A,P,P,P,A,A,A,A,A,A,P,P,A,A,A,A,P,A,P,P,A
93,Student_93,A,A,P,A,P,A,P,P,P,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,P,A,P,A,A
94,Student_94,A,A,A,A,A,P,P,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,P,A,A,P,P,P,P
95,Student_95,A,A,P,A,A,A,A,P,A,A,A,P,A,A,A,P,P,A,P,P,A,P,P,A,A,P,P,P,P,P,A
96,Student_96,A,A,A,P,A,A,P,A,A,P,A,A,A,A,P,P,A,P,A,A,P,P,P,A,P,P,P,P,A,A,A
97,Student_97,A,A,P,A,A,P,A,P,P,A,A,A,P,A,A,P,A,P,A,A,A,P,A,P,A,P,A,A,A,A,P
98,Student_98,A,A,P,A,P,P,A,A,A,P,A,P,A,A,P,A,P,P,P,A,P,A,P,P,P,P,A,P,P,A,A
99,Student_99,A,A,P,P,A,P,A,A,A,A,A,P,P,P,A,P,P,A,A,A,P,P,A,A,P,P,P,A,P,A,P
100,Student_100,A,A,P,A,A,P,A,P,A,P,A,A,P,A,A,P,A,A,A,P,P,A,A,P,A,A,A,A,A,P,A
101,Student_101,A,A,P,P,A,A,P,A,P,A,A,A,P,A,P,P,P,P,A,A,A,P,A,A,A,P,A,P,P,A,A
102,Student_102,A,A,P,A,A,P,A,P,P,A,A,A,P,A,A,A,A,P,A,P,A,A,P,P,P,A,P,A,A,P,P
103,Student_103,P,A,A,P,A,A,P,A,P,A,P,A,A,A,A,A,A,A,A,A,A,P,A,A,P,A,A,A,A,A,A
104,Student_104,A,A,P,A,A,P,A,A,P,A,A,P,A,A,A,P,A,A,A,A,P,P,A,A,A,A,A,A,P,A,P
105,Student_105,P,P,A,P,P,P,A,A,A,A,P,A,P,P,A,A,A,P,A,A,A,A,P,P,A,A,A,A,A,A,A
106,Student_106,A,P,P,A,P,P,A,P,P,A,A,P,A,A,P,A,P,P,P,A,A,P,P,A,P,A,A,A,A,A,A
107,Student_107,P,A,A,A,A,A,P,A,A,P,A,A,A,A,P,A,P,A,A,A,A,P,A,A,P,P,A,P,A,P,A
108,Student_108,A,A,A,A,P,P,A,P,A,A,A,A,P,A,A,A,P,A,P,P,A,P,P,A,A,P,P,A,P,A,P
109,Student_109,A,A,A,A,A,P,A,P,A,P,P,A,P,A,A,A,P,A,P,A,A,A,A,A,P,A,P,P,P,P,A
110,Student_110,P,A,A,P,A,A,A,A,P,A,A,P,A,P,A,P,A,A,A,A,P,A,P,P,P,P,A,P,P,A,A
111,Student_111,A,A,P,P,P,A,A,A,A,P,P,A,P,A,P,P,A,A,A,A,P,A,A,A,A,P,A,A,A,A,A
112,Student_112,A,P,P,A,P,P,A,A,P,P,P,P,A,P,P,P,P,A,P,A,P,A,A,A,A,P,P,A,A,P,A
113,Student_113,A,A,A,P,A,P,A,P,P,A,A,A,P,P,A,A,P,A,A,P,A,P,P,P,A,P,A,P,P,P,A
114,Student_114,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P,A,A,P,P,P,P,A
115,Student_115,A,P,P,P,P,A,A,A,P,A,A,P,P,P,P,A,P,P,A,P,A,P,P,A,P,A,A,A,P,A,P
116,Student_116,A,A,A,A,A,P,P,A,P,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,P,P
117,Student_117,P,P,P,A,P,P,P,P,A,P,P,A,A,A,P,A,P,A,P,P,A,A,A,A,A,P,A,A,A,A,P
118,Student_118,A,A,P,A,A,A,A,A,A,P,A,A,A,A,P,A,P,P,A,A,A,A,A,P,A,A,P,P,A,A,A
119,Student_119,P,A,P,P,A,A,P,P,A,A,A,A,P,P,A,P,A,A,P,P,A,A,P,A,P,P,P,A,P,A,A
120,Student_120,P,A,P,P,P,A,P,P,P,P,A,A,A,A,P,P,A,P,P,P,A,A,A,A,P,P,P,A,P,A,A
121,Student_121,P,A,A,A,A,A,A,A,A,A,P,P,P,A,A,A,P,P,A,P,P,P,A,A,A,P,A,A,A,P,A
122,Student_122,A,A,A,A,A,A,P,A,A,P,P,P,P,A,P,A,A,A,A,P,P,A,A,A,A,P,A,P,A,A,A
123,Student_123,A,P,P,A,A,P,P,P,P,P,A,P,A,P,A,A,A,P,P,A,P,P,A,A,P,A,P,A,P,P,P
124,Student_124,A,A,A,A,P,A,P,A,A,A,P,A,A,A,P,A,P,P,P,A,P,P,P,P,A,A,A,P,A,A,P
125,Student_125,P,A,A,A,A,A,P,A,A,P,A,A,A,P,P,A,A,P,P,A,A,P,P,A,P,A,A,A,P,P,A
126,Student_126,A,A,P,A,A,A,A,P,A,A,A,P,P,A,A,A,A,A,A,A,A,P,A,P,A,A,A,P,A,P,P
127,Student_127,P,A,A,P,A,A,A,P,A,P,P,A,A,A,P,A,A,A,A,A,P,P,A,A,A,P,A,A,A,P,P
128,Student_128,P,P,A,P,A,P,P,P,A,P,P,A,P,P,P,A,A,P,A,P,P,A,P,A,A,A,P,A,A,P,A
129,Student_129,P,A,A,A,A,P,A,A,A,A,P,A,P,A,A,A,P,A,A,A,A,P,A,P,A,A,A,P,A,A,P
130,Student_130,A,A,P,P,P,A,P,A,P,A,P,A,A,A,A,A,A,A,A,A,P,A,P,P,A,A,P,P,A,A,A
131,Student_131,A,A,A,P,P,P,P,A,A,P,A,A,A,P,A,P,P,P,A,P,P,P,P,A,A,A,A,A,P,P,P
132,Student_132,A,P,A,P,A,P,A,P,A,P,P,A,A,A,P,P,A,A,P,A,A,A,P,P,P,A,P,A,A,A,P
133,Student_133,P,P,A,A,P,A,A,A,A,P,A,P,P,A,P,P,A,A,A,A,A,P,P,P,P,P,P,A,P,A,A
134,Student_134,P,P,A,A,P,A,A,P,A,A,P,A,A,A,A,P,A,P,P,P,A,A,A,A,A,A,A,A,A,P,P
135,Student_135,P,A,A,P,A,A,A,A,A,A,P,P,A,P,P,P,A,A,A,A,P,A,A,A,A,A,P,A,P,A,A
136,Student_136,P,P,A,P,P,A,A,A,A,A,A,A,A,A,A,P,P,P,A,A,A,A,P,A,P,P,A,A,P,P,A
137,Student_137,A,A,A,A,A,A,A,P,A,A,A,A,P,A,P,P,A,A,A,P,A,P,A,A,P,A,P,A,P,P,P
138,Student_138,A,P,A,A,P,A,A,A,A,P,A,P,A,A,P,A,A,P,A,A,A,A,P,A,P,A,P,P,A,A,A
139,Student_139,P,P,A,A,A,A,P,A,P,P,A,A,P,A,P,A,A,A,P,P,A,A,A,P,A,A,P,A,P,A,A
140,Student_140,P,A,A,A,A,P,P,A,A,A,A,A,A,P,A,A,P,A,P,P,A,P,A,A,P,A,A,A,A,P,A
141,Student_141,A,P,P,P,A,P,P,P,P,A,P,P,P,P,A,A,A,P,A,P,A,A,A,P,P,A,A,A,P,A,A
142,Student_142,P,A,A,P,A,A,A,P,P,P,A,P,A,A,P,A,A,P,P,P,P,P,A,P,P,A,P,P,A,A,A
143,Student_143,P,P,A,P,A,P,A,P,A,P,P,A,A,A,P,A,P,P,P,P,P,A,A,A,A,A,A,A,A,A,A
144,Student_144,A,P,P,A,A,P,A,P,A,P,A,A,P,A,P,A,A,P,A,A,A,P,A,A,A,P,P,A,A,P,P
145,Student_145,P,A,P,A,P,P,A,A,A,A,P,A,P,A,A,P,A,A,A,P,A,P,A,P,P,A,A,P,A,A,A
146,Student_146,A,A,A,A,P,A,P,A,A,P,A,A,A,A,A,P,A,P,A,A,A,P,A,A,A,P,A,P,P,A,P
147,Student_147,A,A,A,P,A,P,A,A,P,A,P,P,A,A,P,P,A,A,P,P,A,P,A,P,P,A,A,P,P,P,P
148,Student_148,A,P,P,P,A,A,P,A,A,A,A,A,A,A,A,A,P,A,A,P,P,A,A,A,A,A,A,A,P,A,A
149,Student_149,A,A,P,A,A,A,A,A,P,P,A,P,A,A,A,P,A,P,P,P,A,A,A,A,A,A,A,P,A,P,A
150,Student_150,A,A,P,A,A,P,A,P,A,A,P,A,A,A,P,A,P,P,P,A,P,A,A,A,P,A,P,A,A,P,A
151,Student_151,A,P,A,P,A,A,A,A,A,P,A,A,P,A,P,A,A,P,A,P,A,P,A,P,P,A,A,P,P,P,P
152,Student_152,A,P,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,P,A,A,P,P,P,P,P,P,A,A,A,A,P
153,Student_153,A,P,A,A,A,A,A,A,A,P,P,P,P,A,A,A,A,A,A,A,A,P,P,P,A,P,P,P,A,A,P
154,Student_154,A,A,A,P,P,A,P,P,A,P,P,A,P,A,A,A,P,A,P,A,A,A,P,A,A,P,P,A,P,P,A
155,Student_155,A,A,A,A,P,P,P,A,P,P,P,A,A,A,A,P,A,A,A,A,P,P,P,P,P,A,P,P,A,A,P
156,Student_156,A,P,P,A,A,A,P,A,A,A,A,A,A,A,A,P,P,P,P,P,P,P,A,A,A,P,A,A,A,P,A
157,Student_157,P,P,A,P,A,A,P,A,A,P,A,P,P,P,A,P,A,A,P,A,P,A,A,A,A,A,P,P,A,P,P
158,Student_158,A,P,P,A,A,P,A,A,A,A,A,A,P,P,A,P,P,P,P,P,A,P,A,A,A,A,P,A,A,P,A
159,Student_159,A,P,P,P,A,P,P,A,A,P,A,P,A,P,A,A,A,A,A,P,A,A,A,A,A,A,P,P,A,A,A
160,Student_160,A,A,P,A,P,P,P,A,A,A,P,A,A,P,A,P,A,A,P,A,A,A,P,A,P,A,P,A,P,A,A
161,Student_161,A,A,A,P,P,A,P,P,P,P,A,P,A,A,A,A,A,P,A,A,A,A,P,P,A,A,A,A,A,A,P
162,Student_162,A,P,A,P,P,A,A,P,A,A,A,A,P,P,A,P,P,P,P,A,A,P,P,A,A,A,A,P,P,P,A
163,Student_163,A,A,A,A,P,A,A,A,P,A,A,A,A,A,A,A,P,P,A,A,A,A,P,A,P,P,A,A,P,P,P
164,Student_164,P,A,A,A,P,A,A,A,A,A,P,A,P,A,A,P,P,P,P,A,A,P,A,A,P,A,P,P,A,A,A
165,Student_165,A,A,P,P,P,A,A,A,P,A,P,P,A,A,P,P,P,P,A,A,A,P,A,A,A,P,A,A,P,P,A
166,Student_166,A,P,A,A,P,A,P,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,P,P,P,P,P
167,Student_167,A,A,A,P,A,P,A,A,A,A,P,P,A,P,A,P,A,A,A,A,P,P,P,A,P,A,A,A,A,P,P
168,Student_168,A,A,A,A,A,P,P,P,A,A,A,A,A,P,A,A,P,P,A,P,A,A,A,A,A,A,A,A,P,A,A
169,Student_169,P,A,P,P,A,P,A,P,A,P,P,P,A,P,A,P,P,A,A,A,P,P,P,P,P,P,A,P,A,P,A
170,Student_170,P,P,A,A,A,A,A,A,A,A,A,P,P,A,P,A,P,P,A,A,P,P,A,P,A,P,A,A,A,A,A
171,Student_171,A,P,P,A,P,P,P,P,A,A,A,P,A,A,A,P,A,P,A,A,P,P,A,A,P,P,P,P,P,A,A
172,Student_172,A,A,A,P,P,A,P,A,A,P,A,A,P,P,P,P,A,A,A,P,P,A,A,A,A,A,A,P,A,A,A
173,Student_173,A,A,P,P,P,A,A,A,A,P,P,P,A,A,P,A,P,P,P,A,A,A,A,A,A,A,A,P,P,P,A
174,Student_174,A,A,P,A,A,A,A,P,A,P,A,A,P,P,A,A,A,A,A,A,A,P,A,P,P,A,A,A,A,P,P
175,Student_175,A,P,A,P,A,P,A,A,A,A,P,A,A,P,A,P,A,A,P,A,P,P,A,A,A,P,A,A,P,A,P
176,Student_176,P,A,A,P,P,A,A,P,A,P,P,P,A,A,A,P,A,A,A,A,A,P,P,A,A,P,A,A,A,P,P
177,Student_177,A,P,P,A,A,A,A,A,P,P,A,A,P,A,A,A,A,A,A,P,A,A,P,A,A,A,P,P,A,P,A
178,Student_178,A,P,P,A,P,A,P,P,A,P,P,A,A,P,P,A,P,P,P,A,A,A,A,A,P,A,A,P,P,P,P
179,Student_179,P,A,P,A,P,A,A,P,P,P,A,A,A,A,A,P,A,P,P,A,A,A,P,A,A,A,A,A,A,P,A
180,Student_180,P,P,P,A,P,A,A,P,A,P,A,A,P,A,P,P,A,P,A,A,P,P,P,A,A,P,P,P,P,P,A
